gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
GNA11	PREX2	0.07812463365016574	2.5059642642416584	265	82	7	9	0.4035363308376332	Co_Occurence	GNA11, PREX2	7/91
PPP6C	CDKN2A	0.07968366855971355	2.342491449174972	290	48	7	18	0.40489668983594285	Co_Occurence	CDKN2A, PPP6C	7/66
PTEN	NRAS	0.08121536693043184	0.43935246403969264	221	108	6	28	0.4060768346521594	Mutually_Exclusive	NRAS, PTEN	6/136
PIK3CA	RASA2	0.08395901943492465	2.8476152644080757	316	26	4	17	0.4081747245689323	Co_Occurence	PIK3CA, RASA2	4/43
RB1	KIT	0.08424726315102762	3.473404142082981	326	20	3	14	0.4081747245689323	Co_Occurence	KIT, RB1	3/34
SNX31	PIK3CA	0.08868230406946156	3.377541071365308	326	18	3	16	0.42310259575124815	Co_Occurence	PIK3CA, SNX31	3/34
SNX31	PTEN	0.0901730601606387	2.779827352463991	314	30	4	15	0.42374558346164815	Co_Occurence	PTEN, SNX31	4/45
GNAQ	GNA11	0.09291646527572958	4.773877881498638	337	14	2	10	0.4251692602465915	Co_Occurence	GNA11, GNAQ	2/24
APC	SNX31	0.09319710184605282	2.7041720989781357	294	13	6	50	0.4251692602465915	Co_Occurence	APC, SNX31	6/63
PREX2	SNX31	0.09586291086011071	2.3548225346090277	263	11	8	81	0.42597828676104066	Co_Occurence	PREX2, SNX31	8/92
APC	RAC1	0.09683920483930958	2.159716314487431	288	19	7	49	0.42597828676104066	Co_Occurence	APC, RAC1	7/68
CTNNB1	GNA11	0.09780679717576875	3.2343710191121104	324	13	3	23	0.42597828676104066	Co_Occurence	CTNNB1, GNA11	3/36
PREX2	RAC1	0.09882696252856137	2.03659357726863	258	16	10	79	0.42597828676104066	Co_Occurence	PREX2, RAC1	10/95
MITF	CTNNB1	0.10580455920919922	4.56220061804362	331	24	2	6	0.44465304420296575	Co_Occurence	CTNNB1, MITF	2/30
NF1	CTNNB1	0.10600528573798694	2.177529906396515	280	18	8	57	0.44465304420296575	Co_Occurence	CTNNB1, NF1	8/75
MITF	APC	0.11025802227991009	3.402475683014748	302	53	3	5	0.4563659862579062	Co_Occurence	APC, MITF	3/58
ARID2	GNAQ	0.11300984244277928	2.681149310724506	296	8	4	55	0.4616415132466475	Co_Occurence	ARID2, GNAQ	4/63
CDK4	PREX2	0.11700704480215637	2.3967542681414544	266	83	6	8	0.47180260000869506	Co_Occurence	CDK4, PREX2	6/91
RASA2	ARID2	0.12062465438441403	2.0060796845137876	282	51	8	22	0.4801936878360432	Co_Occurence	ARID2, RASA2	8/73
ARID2	MITF	0.12498506097175344	3.1894041825799024	299	5	3	56	0.48034117639317203	Co_Occurence	ARID2, MITF	3/61
SNX31	GNAQ	0.12525371838060928	3.903632653173762	334	10	2	17	0.48034117639317203	Co_Occurence	GNAQ, SNX31	2/27
CCND1	ARID2	0.12527297880333907	5.261550825162849	302	57	2	2	0.48034117639317203	Co_Occurence	ARID2, CCND1	2/59
BRAF	KIT	0.12997497524591883	0.475028553989164	160	15	8	180	0.4923294516890868	Mutually_Exclusive	BRAF, KIT	8/195
NRAS	TP53	0.13582503145288236	1.5577454009404932	211	38	25	89	0.5059997602187046	Co_Occurence	NRAS, TP53	25/127
GNA11	RASA2	0.13682233516313774	2.7240454006683583	320	27	3	13	0.5059997602187046	Co_Occurence	GNA11, RASA2	3/40
KIT	PIK3CA	0.139394597475974	2.6726878497973385	322	18	3	20	0.5082281763562561	Co_Occurence	KIT, PIK3CA	3/38
TP53	CCND1	0.14067755921541153	4.854198364162328	298	2	2	61	0.5082281763562561	Co_Occurence	CCND1, TP53	2/63
