gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
MAP2K1	CTNNB1	0.6751971841763567	1.2531168882172865	316	24	2	21	0.9657132094856067	Co_Occurence	CTNNB1, MAP2K1	2/45
MDM2	BRAF	0.6752266760723361	0.617307050536816	172	186	2	3	0.9657132094856067	Mutually_Exclusive	BRAF, MDM2	2/189
BRAF	PPP6C	0.684485453254492	1.1989819092256193	164	11	14	174	0.9744952352712019	Co_Occurence	BRAF, PPP6C	14/185
CDKN2A	ARID2	0.692195030503456	1.1740934156903289	259	49	10	45	0.9810020273575056	Co_Occurence	ARID2, CDKN2A	10/94
RAC1	PPP6C	0.6970342428732341	1.1372398544983604	314	23	2	24	0.983400455520929	Co_Occurence	PPP6C, RAC1	2/47
CDK4	CDKN2A	0.7037091265670368	0.4209761598314259	295	54	1	13	0.9839533210586051	Mutually_Exclusive	CDK4, CDKN2A	1/67
RAC1	CTNNB1	0.7082206708286841	1.08658076111352	313	24	2	24	0.9839533210586051	Co_Occurence	CTNNB1, RAC1	2/48
ARID2	CDK4	0.7090220029266939	1.4253906579391789	293	11	3	56	0.9839533210586051	Co_Occurence	ARID2, CDK4	3/67
PTEN	KIT	0.7100207164758894	0.42360076542553193	307	22	1	33	0.9839533210586051	Mutually_Exclusive	KIT, PTEN	1/55
RB1	APC	0.733894486389428	1.18402135565113	293	53	3	14	1	Co_Occurence	APC, RB1	3/67
RASA2	PTEN	0.7520218284156218	1.082218954991446	302	31	3	27	1	Co_Occurence	PTEN, RASA2	3/58
CDKN2A	NRAS	0.7540802315320048	0.8794069429921444	210	98	16	39	1	Mutually_Exclusive	CDKN2A, NRAS	16/137
MAP2K1	CDKN2A	0.7635119041959467	1.1923374665463793	289	51	4	19	1	Co_Occurence	CDKN2A, MAP2K1	4/70
CDK4	NRAS	0.77143877012385	1.2225107871970473	240	109	5	9	1	Co_Occurence	CDK4, NRAS	5/118
KIT	TP53	0.7780784652589898	0.7006255701406562	280	60	3	20	1	Mutually_Exclusive	KIT, TP53	3/80
MAP2K1	NF1	0.7787498363389856	0.6732440666867096	278	62	3	20	1	Mutually_Exclusive	MAP2K1, NF1	3/82
CTNNB1	CDKN2A	0.7797508056682708	0.7154834027767868	285	52	3	23	1	Mutually_Exclusive	CDKN2A, CTNNB1	3/75
PPP6C	APC	0.7797508056682709	0.7338496951881042	285	53	3	22	1	Mutually_Exclusive	APC, PPP6C	3/75
MAP2K1	PREX2	0.8062495226203502	1.0925795483302005	257	83	6	17	1	Co_Occurence	MAP2K1, PREX2	6/100
RAC1	NRAS	0.8266763540618732	1.1692152789374308	232	105	9	17	1	Co_Occurence	NRAS, RAC1	9/122
MAP2K2	CDK4	0.9999999999999998	0	339	14	0	10	1	Mutually_Exclusive	CDK4, MAP2K2	0/24
RAC1	GNAQ	0.9999999999999998	0	325	12	0	26	1	Mutually_Exclusive	GNAQ, RAC1	0/38
RASA2	BRAF	0.9999999999999999	1.069600376673489	161	172	16	14	1	Co_Occurence	BRAF, RASA2	16/186
MDM2	PREX2	0.9999999999999999	0.767576399618518	270	88	1	4	1	Mutually_Exclusive	MDM2, PREX2	1/92
CDK4	NF1	0.9999999999999999	0.7571507254300227	286	63	2	12	1	Mutually_Exclusive	CDK4, NF1	2/75
MAP2K1	APC	0.9999999999999999	0.812701996662989	287	53	3	20	1	Mutually_Exclusive	APC, MAP2K1	3/73
PIK3CA	PTEN	0.9999999999999999	1.019683721954619	310	32	2	19	1	Co_Occurence	PIK3CA, PTEN	2/51
MITF	RASA2	0.9999999999999999	0	325	30	0	8	1	Mutually_Exclusive	MITF, RASA2	0/38
TP53	CTNNB1	0.9999999999999999	0.8570530982784533	278	22	4	59	1	Mutually_Exclusive	CTNNB1, TP53	4/81
CDK4	CTNNB1	0.9999999999999999	0.9969315215549112	324	25	1	13	1	Mutually_Exclusive	CDK4, CTNNB1	1/38
PIK3CA	PPP6C	0.9999999999999999	0.6631425548747841	318	24	1	20	1	Mutually_Exclusive	PIK3CA, PPP6C	1/44
RASA2	MAP2K1	0.9999999999999999	1.0610647009116911	312	21	2	28	1	Co_Occurence	MAP2K1, RASA2	2/49
CDKN2A	PIK3CA	0.9999999999999999	0.929642512666398	290	18	3	52	1	Mutually_Exclusive	CDKN2A, PIK3CA	3/70
MITF	PIK3CA	0.9999999999999999	0	334	21	0	8	1	Mutually_Exclusive	MITF, PIK3CA	0/29
CCND1	PIK3CA	0.9999999999999999	0	338	21	0	4	1	Mutually_Exclusive	CCND1, PIK3CA	0/25
TP53	RB1	0.9999999999999999	1.0213699894339139	286	14	3	60	1	Co_Occurence	RB1, TP53	3/74
PIK3CA	RB1	0.9999999999999999	1.0187001454333497	326	16	1	20	1	Co_Occurence	PIK3CA, RB1	1/36
GNAQ	RB1	0.9999999999999999	0	334	17	0	12	1	Mutually_Exclusive	GNAQ, RB1	0/29
KIT	GNA11	0.9999999999999999	0.9848894757680537	325	15	1	22	1	Mutually_Exclusive	GNA11, KIT	1/37
MAP2K1	GNA11	0.9999999999999999	0.9848894757680537	325	15	1	22	1	Mutually_Exclusive	GNA11, MAP2K1	1/37
CCND1	GNA11	0.9999999999999999	0	343	16	0	4	1	Mutually_Exclusive	CCND1, GNA11	0/20
CCND1	CDK4	0.9999999999999999	0	345	14	0	4	1	Mutually_Exclusive	CCND1, CDK4	0/18
BRAF	GNAQ	0.9999999999999999	0.9287810072106755	169	6	6	182	1	Mutually_Exclusive	BRAF, GNAQ	6/188
CCND1	GNAQ	0.9999999999999999	0	347	12	0	4	1	Mutually_Exclusive	CCND1, GNAQ	0/16
APC	MAP2K2	0.9999999999999999	0.6027330932035568	298	9	1	55	1	Mutually_Exclusive	APC, MAP2K2	1/64
PIK3CA	MAP2K2	0.9999999999999999	0	332	10	0	21	1	Mutually_Exclusive	MAP2K2, PIK3CA	0/31
CDKN2A	MITF	0.9999999999999999	0.7967596346472907	301	7	1	54	1	Mutually_Exclusive	CDKN2A, MITF	1/61
MDM2	MITF	0.9999999999999999	0	350	8	0	5	1	Mutually_Exclusive	MDM2, MITF	0/13
PPP6C	MDM2	0.9999999999999999	0	333	5	0	25	1	Mutually_Exclusive	MDM2, PPP6C	0/30
GNAQ	MDM2	0.9999999999999999	0	346	5	0	12	1	Mutually_Exclusive	GNAQ, MDM2	0/17
CCND1	MDM2	0.9999999999999999	0	354	5	0	4	1	Mutually_Exclusive	CCND1, MDM2	0/9
CCND1	NRAS	1	0.7262444713351275	246	113	1	3	1	Mutually_Exclusive	CCND1, NRAS	1/116
MAP2K2	PREX2	1	0.7649060856039084	266	87	2	8	1	Mutually_Exclusive	MAP2K2, PREX2	2/95
MAP2K2	NF1	1	0.5025094106525133	289	64	1	9	1	Mutually_Exclusive	MAP2K2, NF1	1/73
MAP2K1	TP53	1	1.0026688175281686	281	59	4	19	1	Co_Occurence	MAP2K1, TP53	4/78
GNAQ	TP53	1	0.9509344546723938	290	61	2	10	1	Mutually_Exclusive	GNAQ, TP53	2/71
MAP2K2	TP53	1	0.5222703776378468	291	62	1	9	1	Mutually_Exclusive	MAP2K2, TP53	1/71
GNAQ	CDKN2A	1	0.5007604971828029	297	54	1	11	1	Mutually_Exclusive	CDKN2A, GNAQ	1/65
MAP2K2	CDKN2A	1	0.6159278033567145	299	54	1	9	1	Mutually_Exclusive	CDKN2A, MAP2K2	1/63
RAC1	PTEN	1	0.7947361308656821	305	32	2	24	1	Mutually_Exclusive	PTEN, RAC1	2/56
PPP6C	PTEN	1	0.8319205134333527	306	32	2	23	1	Mutually_Exclusive	PPP6C, PTEN	2/55
MDM2	PTEN	1	0	324	34	0	5	1	Mutually_Exclusive	MDM2, PTEN	0/39
PPP6C	RASA2	1	0.9628294190428539	310	28	2	23	1	Mutually_Exclusive	PPP6C, RASA2	2/51
MDM2	RASA2	1	0	328	30	0	5	1	Mutually_Exclusive	MDM2, RASA2	0/35
PPP6C	CTNNB1	1	0.5224023349159085	313	25	1	24	1	Mutually_Exclusive	CTNNB1, PPP6C	1/49
PIK3CA	CTNNB1	1	0.634670025076783	317	25	1	20	1	Mutually_Exclusive	CTNNB1, PIK3CA	1/45
MDM2	CTNNB1	1	0	332	26	0	5	1	Mutually_Exclusive	CTNNB1, MDM2	0/31
CCND1	CTNNB1	1	0	333	26	0	4	1	Mutually_Exclusive	CCND1, CTNNB1	0/30
MAP2K1	RAC1	1	0.5734414858953365	315	25	1	22	1	Mutually_Exclusive	MAP2K1, RAC1	1/47
SNX31	RAC1	1	0.7094791717207088	319	25	1	18	1	Mutually_Exclusive	RAC1, SNX31	1/43
MITF	RAC1	1	0	329	26	0	8	1	Mutually_Exclusive	MITF, RAC1	0/34
MDM2	RAC1	1	0	332	26	0	5	1	Mutually_Exclusive	MDM2, RAC1	0/31
RB1	PPP6C	1	0.8389017073074946	322	24	1	16	1	Mutually_Exclusive	PPP6C, RB1	1/40
CDK4	PPP6C	1	1.0415588683978292	325	24	1	13	1	Co_Occurence	CDK4, PPP6C	1/37
MAP2K1	KIT	1	0.657672829049901	318	22	1	22	1	Mutually_Exclusive	KIT, MAP2K1	1/44
CDK4	KIT	1	0	326	23	0	14	1	Mutually_Exclusive	CDK4, KIT	0/37
GNAQ	KIT	1	0	328	23	0	12	1	Mutually_Exclusive	GNAQ, KIT	0/35
MITF	KIT	1	0	332	23	0	8	1	Mutually_Exclusive	KIT, MITF	0/31
CCND1	KIT	1	0	336	23	0	4	1	Mutually_Exclusive	CCND1, KIT	0/27
PIK3CA	MAP2K1	1	0.7278475812897863	320	22	1	20	1	Mutually_Exclusive	MAP2K1, PIK3CA	1/42
CDK4	MAP2K1	1	0	326	23	0	14	1	Mutually_Exclusive	CDK4, MAP2K1	0/37
MITF	MAP2K1	1	0	332	23	0	8	1	Mutually_Exclusive	MAP2K1, MITF	0/31
MDM2	MAP2K1	1	0	335	23	0	5	1	Mutually_Exclusive	MAP2K1, MDM2	0/28
CCND1	MAP2K1	1	0	336	23	0	4	1	Mutually_Exclusive	CCND1, MAP2K1	0/27
MDM2	SNX31	1	0	339	19	0	5	1	Mutually_Exclusive	MDM2, SNX31	0/24
GNA11	RB1	1	0	330	17	0	16	1	Mutually_Exclusive	GNA11, RB1	0/33
CDK4	RB1	1	0	332	17	0	14	1	Mutually_Exclusive	CDK4, RB1	0/31
MAP2K2	RB1	1	0	336	17	0	10	1	Mutually_Exclusive	MAP2K2, RB1	0/27
MDM2	RB1	1	0	341	17	0	5	1	Mutually_Exclusive	MDM2, RB1	0/22
CCND1	RB1	1	0	342	17	0	4	1	Mutually_Exclusive	CCND1, RB1	0/21
MDM2	GNA11	1	0	342	16	0	5	1	Mutually_Exclusive	GNA11, MDM2	0/21
MITF	CDK4	1	0	341	14	0	8	1	Mutually_Exclusive	CDK4, MITF	0/22
MITF	MAP2K2	1	0	345	10	0	8	1	Mutually_Exclusive	MAP2K2, MITF	0/18
MDM2	MAP2K2	1	0	348	10	0	5	1	Mutually_Exclusive	MAP2K2, MDM2	0/15
CCND1	MAP2K2	1	0	349	10	0	4	1	Mutually_Exclusive	CCND1, MAP2K2	0/14
CCND1	MITF	1	0	351	8	0	4	1	Mutually_Exclusive	CCND1, MITF	0/12
