gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
ARID2	PTEN	0.3518069812473758	2.551505058120089	57	6	3	11	1	Co_Occurence	ARID2, PTEN	3/17
CTNNB1	TP53	0.3611786222312538	3.0746909171674766	66	7	1	3	1	Co_Occurence	CTNNB1, TP53	1/10
RASA2	TP53	0.3611786222312538	3.0746909171674766	66	7	1	3	1	Co_Occurence	RASA2, TP53	1/10
RB1	TP53	0.3611786222312538	3.0746909171674766	66	7	1	3	1	Co_Occurence	RB1, TP53	1/10
NRAS	RAC1	0.37443609022556384	3.132410989994517	64	2	1	10	1	Co_Occurence	NRAS, RAC1	1/12
PREX2	RAC1	0.37443609022556384	3.132410989994517	64	2	1	10	1	Co_Occurence	PREX2, RAC1	1/12
ARID2	NF1	0.3766771321726458	2.155696128284889	56	7	3	11	1	Co_Occurence	ARID2, NF1	3/18
APC	BRAF	0.39524486892907934	2.986839213297604	31	41	4	1	1	Co_Occurence	APC, BRAF	4/42
MAP2K1	BRAF	0.39524486892907934	2.986839213297604	31	41	4	1	1	Co_Occurence	BRAF, MAP2K1	4/42
PPP6C	BRAF	0.39524486892907934	2.986839213297604	31	41	4	1	1	Co_Occurence	BRAF, PPP6C	4/42
CDKN2A	PTEN	0.3982117455801666	2.6602729687381124	65	8	1	3	1	Co_Occurence	CDKN2A, PTEN	1/11
CTNNB1	PTEN	0.3982117455801666	2.6602729687381124	65	8	1	3	1	Co_Occurence	CTNNB1, PTEN	1/11
ARID2	PREX2	0.4098740236803161	1.8576057289409882	55	8	3	11	1	Co_Occurence	ARID2, PREX2	3/19
GNA11	BRAF	0.4155844155844157	0	31	45	0	1	1	Mutually_Exclusive	BRAF, GNA11	0/46
MITF	BRAF	0.4155844155844157	0	31	45	0	1	1	Mutually_Exclusive	BRAF, MITF	0/46
PIK3CA	BRAF	0.4155844155844157	0	31	45	0	1	1	Mutually_Exclusive	BRAF, PIK3CA	0/46
TP53	PPP6C	0.4311864444524862	2.2880315920983008	65	4	1	7	1	Co_Occurence	PPP6C, TP53	1/11
NF1	CDKN2A	0.43361105466368605	2.33570966300098	64	3	1	9	1	Co_Occurence	CDKN2A, NF1	1/12
TP53	BRAF	0.45738307943492884	2.2846740342936087	30	39	6	2	1	Co_Occurence	BRAF, TP53	6/41
CDKN2A	NRAS	0.4674253200568991	2.0748009952616564	63	10	1	3	1	Co_Occurence	CDKN2A, NRAS	1/13
RB1	NRAS	0.4674253200568991	2.0748009952616564	63	10	1	3	1	Co_Occurence	NRAS, RB1	1/13
CDKN2A	PREX2	0.4674253200568991	2.0748009952616564	63	10	1	3	1	Co_Occurence	CDKN2A, PREX2	1/13
PPP6C	NRAS	0.5476762992264073	1.5399472157856964	62	10	1	4	1	Co_Occurence	NRAS, PPP6C	1/14
MAP2K1	PREX2	0.5476762992264073	1.5399472157856964	62	10	1	4	1	Co_Occurence	MAP2K1, PREX2	1/14
TP53	KIT	0.5513583223850596	1.4910253192479919	63	6	1	7	1	Co_Occurence	KIT, TP53	1/13
ARID2	CTNNB1	0.5598344756239492	1.52880018624543	60	3	1	13	1	Co_Occurence	ARID2, CTNNB1	1/16
ARID2	RB1	0.5598344756239492	1.52880018624543	60	3	1	13	1	Co_Occurence	ARID2, RB1	1/16
BRAF	GNAQ	0.5669172932330825	0.34574544431463233	30	2	1	44	1	Mutually_Exclusive	BRAF, GNAQ	1/46
ARID2	MAP2K1	0.5779234697763896	0	58	5	0	14	1	Mutually_Exclusive	ARID2, MAP2K1	0/19
NRAS	KIT	0.5843966309597878	0	59	7	0	11	1	Mutually_Exclusive	KIT, NRAS	0/18
NRAS	TP53	0.5928783323687719	0	58	8	0	11	1	Mutually_Exclusive	NRAS, TP53	0/19
KIT	ARID2	0.6044436148287808	1.9140436988035887	58	12	2	5	1	Co_Occurence	ARID2, KIT	2/17
NRAS	NF1	0.6288442171158186	1.5998643554163527	58	8	2	9	1	Co_Occurence	NF1, NRAS	2/17
CDKN2A	BRAF	0.6371469213574475	2.193588613925982	31	42	3	1	1	Co_Occurence	BRAF, CDKN2A	3/43
RB1	BRAF	0.6371469213574475	2.193588613925982	31	42	3	1	1	Co_Occurence	BRAF, RB1	3/43
NRAS	ARID2	0.6776622818421895	0.4115081733374283	53	13	1	10	1	Mutually_Exclusive	ARID2, NRAS	1/23
BRAF	PREX2	0.754520141682302	1.2852932903830627	28	4	7	38	1	Co_Occurence	BRAF, PREX2	7/42
ARID2	BRAF	0.7674566512612604	1.3448356912581516	27	36	9	5	1	Co_Occurence	ARID2, BRAF	9/41
GNA11	CDK4	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	CDK4, GNA11	0/2
MITF	CDK4	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	CDK4, MITF	0/2
PIK3CA	CDK4	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	CDK4, PIK3CA	0/2
SNX31	CDK4	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	CDK4, SNX31	0/2
MITF	GNA11	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	GNA11, MITF	0/2
PIK3CA	GNA11	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	GNA11, PIK3CA	0/2
SNX31	GNA11	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	GNA11, SNX31	0/2
PIK3CA	MITF	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	MITF, PIK3CA	0/2
SNX31	MITF	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	MITF, SNX31	0/2
SNX31	PIK3CA	0.9999999999999998	0	75	1	0	1	1	Mutually_Exclusive	PIK3CA, SNX31	0/2
APC	NRAS	0.9999999999999999	0	61	11	0	5	1	Mutually_Exclusive	APC, NRAS	0/16
MAP2K1	NRAS	0.9999999999999999	0	61	11	0	5	1	Mutually_Exclusive	MAP2K1, NRAS	0/16
APC	PREX2	0.9999999999999999	0	61	11	0	5	1	Mutually_Exclusive	APC, PREX2	0/16
PPP6C	PREX2	0.9999999999999999	0	61	11	0	5	1	Mutually_Exclusive	PPP6C, PREX2	0/16
CDK4	NF1	0.9999999999999999	0	66	10	0	1	1	Mutually_Exclusive	CDK4, NF1	0/11
PIK3CA	NF1	0.9999999999999999	0	66	10	0	1	1	Mutually_Exclusive	NF1, PIK3CA	0/11
SNX31	NF1	0.9999999999999999	0	66	10	0	1	1	Mutually_Exclusive	NF1, SNX31	0/11
CDKN2A	TP53	0.9999999999999999	0	65	8	0	4	1	Mutually_Exclusive	CDKN2A, TP53	0/12
PTEN	KIT	0.9999999999999999	1.2870228037999567	62	6	1	8	1	Co_Occurence	KIT, PTEN	1/14
CDK4	APC	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	APC, CDK4	0/6
GNA11	APC	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	APC, GNA11	0/6
MITF	APC	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	APC, MITF	0/6
SNX31	APC	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	APC, SNX31	0/6
CDK4	MAP2K1	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	CDK4, MAP2K1	0/6
GNA11	MAP2K1	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	GNA11, MAP2K1	0/6
MITF	MAP2K1	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	MAP2K1, MITF	0/6
PIK3CA	MAP2K1	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	MAP2K1, PIK3CA	0/6
SNX31	MAP2K1	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	MAP2K1, SNX31	0/6
CDK4	PPP6C	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	CDK4, PPP6C	0/6
GNA11	PPP6C	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	GNA11, PPP6C	0/6
MITF	PPP6C	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	MITF, PPP6C	0/6
PIK3CA	PPP6C	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	PIK3CA, PPP6C	0/6
SNX31	PPP6C	0.9999999999999999	0	71	5	0	1	1	Mutually_Exclusive	PPP6C, SNX31	0/6
KIT	MAP2K2	0.9999999999999999	0	67	3	0	7	1	Mutually_Exclusive	KIT, MAP2K2	0/10
TP53	CDK4	0.9999999999999999	0	68	1	0	8	1	Mutually_Exclusive	CDK4, TP53	0/9
KIT	CDK4	0.9999999999999999	0	69	1	0	7	1	Mutually_Exclusive	CDK4, KIT	0/8
TP53	GNA11	0.9999999999999999	0	68	1	0	8	1	Mutually_Exclusive	GNA11, TP53	0/9
KIT	MITF	0.9999999999999999	0	69	1	0	7	1	Mutually_Exclusive	KIT, MITF	0/8
KIT	PIK3CA	0.9999999999999999	0	69	1	0	7	1	Mutually_Exclusive	KIT, PIK3CA	0/8
TP53	SNX31	0.9999999999999999	0	68	1	0	8	1	Mutually_Exclusive	SNX31, TP53	0/9
KIT	SNX31	0.9999999999999999	0	69	1	0	7	1	Mutually_Exclusive	KIT, SNX31	0/8
CDK4	BRAF	1	Inf	32	44	1	0	1	Co_Occurence	BRAF, CDK4	1/44
SNX31	BRAF	1	Inf	32	44	1	0	1	Co_Occurence	BRAF, SNX31	1/44
PPP6C	ARID2	1	1.132718578559232	59	13	1	4	1	Co_Occurence	ARID2, PPP6C	1/17
CDKN2A	ARID2	1	0	59	14	0	4	1	Mutually_Exclusive	ARID2, CDKN2A	0/18
RASA2	ARID2	1	0	59	14	0	4	1	Mutually_Exclusive	ARID2, RASA2	0/18
GNAQ	ARID2	1	0	60	14	0	3	1	Mutually_Exclusive	ARID2, GNAQ	0/17
MAP2K2	ARID2	1	0	60	14	0	3	1	Mutually_Exclusive	ARID2, MAP2K2	0/17
CDK4	ARID2	1	0	62	14	0	1	1	Mutually_Exclusive	ARID2, CDK4	0/15
PREX2	NRAS	1	0.5636411163579456	56	10	1	10	1	Mutually_Exclusive	NRAS, PREX2	1/20
CTNNB1	NRAS	1	0	62	11	0	4	1	Mutually_Exclusive	CTNNB1, NRAS	0/15
RASA2	NRAS	1	0	62	11	0	4	1	Mutually_Exclusive	NRAS, RASA2	0/15
GNAQ	NRAS	1	0	63	11	0	3	1	Mutually_Exclusive	GNAQ, NRAS	0/14
MAP2K2	NRAS	1	0	63	11	0	3	1	Mutually_Exclusive	MAP2K2, NRAS	0/14
CDK4	NRAS	1	0	65	11	0	1	1	Mutually_Exclusive	CDK4, NRAS	0/12
GNA11	NRAS	1	0	65	11	0	1	1	Mutually_Exclusive	GNA11, NRAS	0/12
MITF	NRAS	1	0	65	11	0	1	1	Mutually_Exclusive	MITF, NRAS	0/12
PIK3CA	NRAS	1	0	65	11	0	1	1	Mutually_Exclusive	NRAS, PIK3CA	0/12
SNX31	NRAS	1	0	65	11	0	1	1	Mutually_Exclusive	NRAS, SNX31	0/12
PTEN	PREX2	1	0.7277747988776355	58	10	1	8	1	Mutually_Exclusive	PREX2, PTEN	1/18
KIT	PREX2	1	1	60	10	1	6	1	Mutually_Exclusive	KIT, PREX2	1/16
CTNNB1	PREX2	1	0	62	11	0	4	1	Mutually_Exclusive	CTNNB1, PREX2	0/15
GNAQ	PREX2	1	0	63	11	0	3	1	Mutually_Exclusive	GNAQ, PREX2	0/14
MAP2K2	PREX2	1	0	63	11	0	3	1	Mutually_Exclusive	MAP2K2, PREX2	0/14
CDK4	PREX2	1	0	65	11	0	1	1	Mutually_Exclusive	CDK4, PREX2	0/12
MITF	PREX2	1	0	65	11	0	1	1	Mutually_Exclusive	MITF, PREX2	0/12
PIK3CA	PREX2	1	0	65	11	0	1	1	Mutually_Exclusive	PIK3CA, PREX2	0/12
SNX31	PREX2	1	0	65	11	0	1	1	Mutually_Exclusive	PREX2, SNX31	0/12
PTEN	NF1	1	0.8214481513720672	59	9	1	8	1	Mutually_Exclusive	NF1, PTEN	1/17
MAP2K1	NF1	1	0	62	10	0	5	1	Mutually_Exclusive	MAP2K1, NF1	0/15
PPP6C	NF1	1	0	62	10	0	5	1	Mutually_Exclusive	NF1, PPP6C	0/15
RASA2	NF1	1	0	63	10	0	4	1	Mutually_Exclusive	NF1, RASA2	0/14
RB1	NF1	1	0	63	10	0	4	1	Mutually_Exclusive	NF1, RB1	0/14
GNAQ	NF1	1	0	64	10	0	3	1	Mutually_Exclusive	GNAQ, NF1	0/13
MAP2K2	NF1	1	0	64	10	0	3	1	Mutually_Exclusive	MAP2K2, NF1	0/13
TP53	PTEN	1	1.0880662366378437	61	8	1	7	1	Co_Occurence	PTEN, TP53	1/15
MAP2K1	PTEN	1	0	63	9	0	5	1	Mutually_Exclusive	MAP2K1, PTEN	0/14
PPP6C	PTEN	1	0	63	9	0	5	1	Mutually_Exclusive	PPP6C, PTEN	0/14
RASA2	PTEN	1	0	64	9	0	4	1	Mutually_Exclusive	PTEN, RASA2	0/13
RB1	PTEN	1	0	64	9	0	4	1	Mutually_Exclusive	PTEN, RB1	0/13
GNAQ	PTEN	1	0	65	9	0	3	1	Mutually_Exclusive	GNAQ, PTEN	0/12
RAC1	PTEN	1	0	65	9	0	3	1	Mutually_Exclusive	PTEN, RAC1	0/12
CDK4	PTEN	1	0	67	9	0	1	1	Mutually_Exclusive	CDK4, PTEN	0/10
GNA11	PTEN	1	0	67	9	0	1	1	Mutually_Exclusive	GNA11, PTEN	0/10
MITF	PTEN	1	0	67	9	0	1	1	Mutually_Exclusive	MITF, PTEN	0/10
PIK3CA	PTEN	1	0	67	9	0	1	1	Mutually_Exclusive	PIK3CA, PTEN	0/10
SNX31	PTEN	1	0	67	9	0	1	1	Mutually_Exclusive	PTEN, SNX31	0/10
GNAQ	TP53	1	0	66	8	0	3	1	Mutually_Exclusive	GNAQ, TP53	0/11
MAP2K2	TP53	1	0	66	8	0	3	1	Mutually_Exclusive	MAP2K2, TP53	0/11
APC	KIT	1	0	65	7	0	5	1	Mutually_Exclusive	APC, KIT	0/12
PPP6C	KIT	1	0	65	7	0	5	1	Mutually_Exclusive	KIT, PPP6C	0/12
CDKN2A	KIT	1	0	66	7	0	4	1	Mutually_Exclusive	CDKN2A, KIT	0/11
RASA2	KIT	1	0	66	7	0	4	1	Mutually_Exclusive	KIT, RASA2	0/11
RB1	KIT	1	0	66	7	0	4	1	Mutually_Exclusive	KIT, RB1	0/11
MAP2K1	APC	1	0	67	5	0	5	1	Mutually_Exclusive	APC, MAP2K1	0/10
PPP6C	APC	1	0	67	5	0	5	1	Mutually_Exclusive	APC, PPP6C	0/10
CDKN2A	APC	1	0	68	5	0	4	1	Mutually_Exclusive	APC, CDKN2A	0/9
RASA2	APC	1	0	68	5	0	4	1	Mutually_Exclusive	APC, RASA2	0/9
RB1	APC	1	0	68	5	0	4	1	Mutually_Exclusive	APC, RB1	0/9
